Feature ID,Taxon,Confidence,Domain,Phylum,Class,Order,Family,Genus,Species,FullName
dbbc1fea0cd79e09e95dd406ba97d633,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Family_XI; g__Fenollaria; s__Peptostreptococcaceae_bacterium,0.8213903042518124,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Fenollaria,Peptostreptococcaceae_bacterium,g_Fenollaria
8a6ee2833ac1735f30808317ba1902d3,d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_hominis,0.7863110691452408,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus_hominis,g_Staphylococcus
c7ca160fd2688a366adced325cdde600,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Family_XI; g__Anaerococcus; s__uncultured_bacterium,0.966747041265724,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Anaerococcus,uncultured_bacterium,g_Anaerococcus
cd270dc593f74cf24821b62e130b39ad,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Aeromonadaceae; g__Aeromonas,0.9370818526663784,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,,g_Aeromonas
077651f14f7f5aa0895d12dc877e28cf,d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Gemellaceae; g__Gemella; s__uncultured_bacterium,0.8911578520019706,Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,uncultured_bacterium,g_Gemella
6451c34a07e9d1b34d9045e3dd539dde,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Abiotrophia; s__uncultured_bacterium,0.9993164047665016,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,uncultured_bacterium,g_Abiotrophia
67b7b73a1c74159a194f7ee0a20f18fc,d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Gemellaceae; g__Gemella; s__uncultured_bacterium,0.9975502989546334,Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,uncultured_bacterium,g_Gemella
fa58799195f82f39375d77a8724b1293,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Family_XI; g__Anaerococcus,0.9999999999917798,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Anaerococcus,,g_Anaerococcus
f49888d55638e24c9a657b0975b935b6,d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Dialister; s__Dialister_propionicifaciens,0.99986777623566,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Dialister,Dialister_propionicifaciens,g_Dialister
cc2111c48958a1d2d6a046b15baaddd3,d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus,0.9375604600177636,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,,g_Staphylococcus
